ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.LPS100_2_hit.logFC	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.logFC	LPS100_1_hit.vs.LPS100_2_hit.p.value	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.p.value
ENSOARG00000018258	101103068	SMAD6	SMAD family member 6	1.75010825307026	2.49921335830216	0.0481456126566106	0.00942942160755357
ENSOARG00000018267				-1.57554723466502	-1.46190833775058	0.0272721184889247	0.0390874483867943
ENSOARG00000018278	101115931	ABCA3	ATP binding cassette subfamily A member 3	1.46275813071001	2.75670108018817	0.0128462329828614	0.000376638327328878
ENSOARG00000018319	101111182	POLR3H	RNA polymerase III subunit H	-1.42415887978633	-1.31330515162716	0.0102254846272519	0.016855817977235
ENSOARG00000018420	101109587	LOC101109587	putative protein FAM172B	1.66028646405079	2.15615232816617	0.0321916914672504	0.0132126411537577
ENSOARG00000018444	101121648	PDZD8	PDZ domain containing 8	-1.47869448482171	-1.22552282148048	0.00255666071856084	0.0113075133711774
ENSOARG00000018452	101108384	GRAMD2B	GRAM domain containing 2B	1.36466032349229	1.75498785204422	0.00752474489294918	0.00150010363514446
ENSOARG00000018463	101109434	KIF3C	kinesin family member 3C	-1.04747119899044	-1.20233768561657	0.0438214483755176	0.0162516417901222
ENSOARG00000018482		ZSCAN25	zinc finger and SCAN domain containing 25	-1.48777410969927	-1.48529321957367	0.00219564124723474	0.00212229633019287
ENSOARG00000018543	101120101	NSFL1C	NSFL1 cofactor	-0.824326829409081	-0.981700844363044	0.0493550712749583	0.00773114696034818
ENSOARG00000018550	101105042	EMX2	empty spiracles homeobox 2	-2.09396843154139	-1.83828927501313	0.00619391875099587	0.013708506780686
ENSOARG00000018566	100307035	CAT	catalase	1.37735952967283	1.26730282622075	0.00246358992875886	0.00468031189429318
ENSOARG00000018607		C5orf30	chromosome 5 open reading frame 30	1.89984433717699	1.70021023399044	0.00974608557024843	0.0185768763032102
ENSOARG00000018612	101112690	NXPE3	neurexophilin and PC-esterase domain family member 3	-1.10877943657169	-1.20030460949592	0.00699546034259234	0.00326502297163366
ENSOARG00000018635	101121697	DZANK1	double zinc ribbon and ankyrin repeat domains 1	-1.28686428260581	-1.48436184180875	0.0272870623674045	0.0116477639266969
ENSOARG00000018685	101116367	KCTD5	potassium channel tetramerization domain containing 5	-1.43729521623948	-1.34463931835387	0.0100285253707905	0.0149117647431063
ENSOARG00000018719	101118319	RNPC3	RNA binding region (RNP1, RRM) containing 3	1.23393981589075	1.22624461423679	0.0245851005280754	0.0264528489465748
ENSOARG00000018732	101107524	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats	1.219262081022	1.22328317273011	0.0190189978926996	0.0188608570804368
ENSOARG00000018783	101109398	RPP40	ribonuclease P/MRP subunit p40	-1.83607870324179	-1.49571471506865	0.00982310138856289	0.0298842327123501
ENSOARG00000018811	101120709	VAV3	vav guanine nucleotide exchange factor 3	1.79239240097146	1.84001956955447	0.00116637201349189	0.00124848907063919
ENSOARG00000018820	101108799	PER2	period circadian regulator 2	-1.77722496122083	-1.70311672211364	0.0356804452273555	0.0395789211047543
ENSOARG00000018829	101115417	BBX	BBX, HMG-box containing	1.65171781110089	1.67030453871452	0.022219704148991	0.0207655421022123
ENSOARG00000018838		KLF7	Kruppel like factor 7	1.71956421926195	1.98040179795879	0.0191426313520867	0.00895035410593856
ENSOARG00000018923	101106200	PAMR1	peptidase domain containing associated with muscle regeneration 1	1.24244146487147	1.32223638960945	0.00920073043863768	0.00606377016285363
ENSOARG00000018970	101115924	CIP2A	cell proliferation regulating inhibitor of protein phosphatase 2A	1.145312180405	1.15914733258343	0.0305287376529014	0.0293468842384123
ENSOARG00000018975	101120741	KMT2D	lysine methyltransferase 2D	-1.23193890246256	-1.0794929330428	0.0185424450684088	0.0439543124106624
ENSOARG00000019028	101120727	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing	1.576341789183	1.63911170710782	0.0268125621755248	0.0222313594667521
ENSOARG00000019081	101116296	DOLK	dolichol kinase	-1.00017497062774	-1.05587297610669	0.00839847605683248	0.0044603217418599
ENSOARG00000019082	101119977	PSMC2	proteasome 26S subunit, ATPase 2	-0.841449410841934	-0.951037372499224	0.0421194431743605	0.0118979660837128
ENSOARG00000019135	101103606	CELSR2	cadherin EGF LAG seven-pass G-type receptor 2	1.19451143788148	1.07384662455	0.0121859652509839	0.0265144327564443
ENSOARG00000019171	101106839	KCTD17	potassium channel tetramerization domain containing 17	-1.33597565518691	-1.14194309506477	0.00628268568408152	0.0209713415560248
ENSOARG00000019264	101116974	GTF3C2	general transcription factor IIIC subunit 2	-0.931731092246484	-0.869053728627373	0.013146643490275	0.0273476656494175
ENSOARG00000019285	101107831	LOC101107831	glutathione S-transferase Mu 1-like	1.24915969315927	1.12674203813009	0.0287819545392592	0.0499520962663997
ENSOARG00000019305	101118001	PPM1G	protein phosphatase, Mg2+/Mn2+ dependent 1G	-1.02029107211901	-1.21069669298136	0.0104873472295174	0.00183849288452503
ENSOARG00000019350	101106744	PECR	peroxisomal trans-2-enoyl-CoA reductase	1.08042520470017	1.17260835486684	0.0248266624973043	0.0148110447880672
ENSOARG00000019362	101113980	EFHD1	EF-hand domain family member D1	2.65961263942908	2.5727187152601	0.00273001604146848	0.0038141524063789
ENSOARG00000019379	101105646	BICD1	BICD cargo adaptor 1	-1.23790400560081	-1.07720570307407	0.0103506709501395	0.0298512833640674
ENSOARG00000019399	101119805	GPN1	GPN-loop GTPase 1	-0.902383239972134	-0.896340166537521	0.0316680743868886	0.0342375513172296
ENSOARG00000019406	101104404	LRP10	LDL receptor related protein 10	1.26155798716311	1.14725010185462	0.00228095430984277	0.00496727201603156
ENSOARG00000019416	101107011	ETFBKMT	electron transfer flavoprotein subunit beta lysine methyltransferase	1.5782069651844	1.62842686969671	0.0181373675886811	0.0181762484122871
ENSOARG00000019444	101109436	DENND5B	DENN domain containing 5B	1.35055847037084	1.23488679348359	0.0296306517680367	0.0464719275018962
ENSOARG00000019488	101102025	ATP6V1A	ATPase H+ transporting V1 subunit A	1.26043867538029	1.16686767894153	0.00239527950766397	0.00467228177415458
ENSOARG00000019572	101102525	QTRT2	queuine tRNA-ribosyltransferase accessory subunit 2	-1.10482288773301	-1.33430235391066	0.0172902186146306	0.00356047793439604
ENSOARG00000019645	101114508	TMEM117	transmembrane protein 117	2.3397070585435	3.03559825140531	0.00847128772361321	0.00250968632183622
ENSOARG00000019697	101107417		NHP2-like protein 1 pseudogene	-0.954667804021372	-1.50807304003361	0.0290323377111857	0.000420811894056597
ENSOARG00000019709	101105642	TIA1	TIA1 cytotoxic granule associated RNA binding protein	0.892833106666326	0.992517480535429	0.0495131919226784	0.0210333571077926
ENSOARG00000019825	101112302	TM7SF3	transmembrane 7 superfamily member 3	1.21183504193056	1.2396633079005	0.00359810248602246	0.00298910989186785
ENSOARG00000019844	101116982		protein phosphatase 6 regulatory subunit 2	-1.12258938662552	-1.13703820564381	0.048172165886612	0.0437060460772887
ENSOARG00000019870	101119595	RSBN1	round spermatid basic protein 1	1.01835632954222	1.31356544806959	0.030376521404708	0.00447478657551054
ENSOARG00000019960	101122480	TRIM33	tripartite motif containing 33	-1.48219840467472	-1.37427312020804	0.0061954037626227	0.0104129878700115
ENSOARG00000020010	101114001	AFTPH	aftiphilin	1.19098039571738	1.15079097977555	0.017091451140034	0.0218272639646754
ENSOARG00000020065	101119202	WDPCP	WD repeat containing planar cell polarity effector	1.89089335758772	3.08327764817139	0.0226928589268851	0.00260758674252723
ENSOARG00000020084	101113312	PTPRN	protein tyrosine phosphatase, receptor type N	-1.50588956851002	-1.26379387986004	0.0110282080273505	0.031290358946863
ENSOARG00000020108	101116893	EHBP1	EH domain binding protein 1	-1.63533997234154	-1.67675245422527	0.00865461544405311	0.00726304121601539
ENSOARG00000020117	101114860	ETNK1	ethanolamine kinase 1	1.05154948195575	1.51095310630858	0.0332525991465779	0.00266852451276257
ENSOARG00000020216		KNSTRN	kinetochore localized astrin (SPAG5) binding protein	1.55762449439732	1.67239780002827	0.0280399015073414	0.0225055366135781
ENSOARG00000020282	101122159	RUBCN	RUN and cysteine rich domain containing beclin 1 interacting protein	2.34563590015042	2.06097078263802	0.0167685818594108	0.031157600593225
ENSOARG00000020293	101111287	SPINT1	serine peptidase inhibitor, Kunitz type 1	3.08835894985261	2.53622971319038	0.000674297721488803	0.00204334011485468
ENSOARG00000020303		CITED4	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4	-1.57165329991393	-1.2727276321732	0.00866335418982429	0.0308298752712347
ENSOARG00000020315	101108177	MAN1A2	mannosidase alpha class 1A member 2	-1.27518224346659	-1.12448136593898	0.0117276166675921	0.0295759583223956
ENSOARG00000020325	101109229	WDR3	WD repeat domain 3	-1.02910472559562	-1.2279726491912	0.00294416716441394	0.000379131181815586
ENSOARG00000020326	101103276	CTPS1	CTP synthase 1	-1.37438261335356	-1.07752165944711	0.0018621121467437	0.0154367481102629
ENSOARG00000020329	101119961	FARSB	phenylalanyl-tRNA synthetase subunit beta	-1.02197427955071	-0.958634156507217	0.0040897204849977	0.00851322882492614
ENSOARG00000020348	101112734	NUSAP1	nucleolar and spindle associated protein 1	1.44423741814685	1.6409963191663	0.0152908824627774	0.00805955238605939
ENSOARG00000020353				1.0962189650725	1.1613671539102	0.0253091958212497	0.0173656511364958
ENSOARG00000020394	101102615	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	2.01839933837641	2.18601876516425	0.00598117791604782	0.00376727806405533
ENSOARG00000020451	101115870	PDE3A	phosphodiesterase 3A	2.11234365216045	2.5560747247081	0.0227647452826089	0.00937776576419965
ENSOARG00000020471	443461	SLC2A1	solute carrier family 2 member 1	-1.0055893871689	-1.14408496643866	0.0238030660851965	0.00733660983606134
ENSOARG00000020487	101110557	BCL6	B cell CLL/lymphoma 6	1.30296918430218	1.05070231557367	0.00509309527223169	0.0251217678066247
ENSOARG00000020511	101101968	CAPG	capping actin protein, gelsolin like	1.15572880761414	1.006964980683	0.0148045613112515	0.0391645091336636
ENSOARG00000020524	101113713	FMO5	flavin containing monooxygenase 5	1.16346165290379	1.06448759719038	0.0058480782902558	0.0137235488651889
ENSOARG00000020566	101117036	MAP3K13	mitogen-activated protein kinase kinase kinase 13	-0.964896845133626	-0.976647835071805	0.0488388765852978	0.0453171216539209
ENSOARG00000020618	101107926	DVL3	dishevelled segment polarity protein 3	-1.00393058969865	-0.934828349975721	0.013626092068492	0.0265054849119484
ENSOARG00000020623	101105643	PTCD3	pentatricopeptide repeat domain 3	-1.10228882170784	-1.09435381149825	0.00256492996673097	0.00270499493107896
ENSOARG00000020717	101107604	PLEKHO2	pleckstrin homology domain containing O2	1.38403986082412	1.0931137577805	0.000526896941652552	0.00447894425845332
ENSOARG00000020725	101108369	PDE6D	phosphodiesterase 6D	1.44878140006598	1.09186922468822	0.00134494949761608	0.0127150064938781
ENSOARG00000020736	101113294	ECT2	epithelial cell transforming 2	1.60220348480516	1.60183617005228	0.00845744467896752	0.0093112699573974
ENSOARG00000020774	101110042	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3	-1.13316600297237	-0.961490034200507	0.00325279087318788	0.017169424753382
ENSOARG00000020813	101112983	VPS13C	vacuolar protein sorting 13 homolog C	1.20076405925095	1.38968088478548	0.0145051449375679	0.00553401373553506
ENSOARG00000020828	780505	IL1RN	interleukin 1 receptor antagonist	1.64635794564341	1.45281099264937	0.0138685006656823	0.0268296667244295
ENSOARG00000020833	101115463	MYO1E	myosin IE	1.4039777373096	1.0635714684974	0.00315538439599401	0.0237847084054922
ENSOARG00000020834	554329	MCL1	MCL1, BCL2 family apoptosis regulator	0.991452806127148	1.06737303045002	0.00799843780004489	0.00353466079186779
ENSOARG00000020843	101105996	IL36B	interleukin 36 beta	-2.58046494726932	-2.25067296334284	0.00111318699737316	0.00306667138906819
ENSOARG00000020848		IL36A	interleukin 36 alpha	-1.69819187087274	-1.70567149899826	0.00748975255383303	0.00857728952540336
ENSOARG00000020863	101117934	MYZAP	myocardial zonula adherens protein	-0.885147208459492	-0.97990447551839	0.0190189978926996	0.00588877760930029
ENSOARG00000020867	101119219	CGNL1	cingulin like 1	0.960617490461138	1.00030849187473	0.01784777307376	0.0118780539664392
ENSOARG00000020908	101122791	RAB27A	RAB27A, member RAS oncogene family	2.03660472128736	1.63080364176124	0.000441413731354109	0.00217607070254662
ENSOARG00000020927	101111329	GABPB2	GA binding protein transcription factor subunit beta 2	1.48754576212143	1.52653591000604	0.0431649126526937	0.0444963102065491
ENSOARG00000020960	101114069	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha	-1.02610903388107	-1.07325097192082	0.0387831957344242	0.0281043059420452
ENSOARG00000020962	101104240	TMOD2	tropomodulin 2	1.90221306612477	1.30955609721836	0.00420963527682399	0.0369020260237413
ENSOARG00000020963		LYSMD2	LysM domain containing 2	1.86881776201091	1.68467215039339	0.0125100111844752	0.0215273536927571
ENSOARG00000021001	443095	FGF7	fibroblast growth factor 7	-2.86067536651345	-2.55584212847946	3.22118692219928e-06	8.21285185957771e-06
ENSOARG00000021013	101117550	CGN	cingulin	1.83286365481138	1.56603041385584	0.0128917411265111	0.046738429765966
ENSOARG00000021061				-1.47186878637229	-1.35632973907936	0.0133951088568404	0.0237454067027272
ENSOARG00000021107	101122031	ARMH4	armadillo-like helical domain containing 4	1.20626200388778	1.00041332123752	0.00643686859049104	0.0286977906139682
ENSOARG00000021117	101123636	DAAM1	dishevelled associated activator of morphogenesis 1	-1.31431001732621	-1.31260953720998	0.0148609458786666	0.0147653216351732
ENSOARG00000021130	101104155	SIX4	SIX homeobox 4	-1.43893627752585	-1.28141402826083	0.00942931550135322	0.0201796073057842
ENSOARG00000021172	101115127	RDH11	retinol dehydrogenase 11	-1.57195184547247	-1.47165870809016	0.000664312883819325	0.00114015907623558
ENSOARG00000021184	101118105	SLC39A9	solute carrier family 39 member 9	-1.10543737269962	-1.22133589766931	0.0245344689013662	0.0115581974687018
